Step,Time,Population
74,0.0740000000000001,1.57662318077751
75,0.0750000000000001,1.58493219062279
76,0.0760000000000001,1.5932454823824
77,0.0770000000000001,1.60156264370483
78,0.0780000000000001,1.60988326143675
79,0.0790000000000001,1.61820692170475
80,0.0800000000000001,1.62653320999744
81,0.0810000000000001,1.63486171124774
82,0.0820000000000001,1.64319200991551
83,0.0830000000000001,1.65152369007031
84,0.0840000000000001,1.65985633547442
85,0.0850000000000001,1.66818952966592
86,0.0860000000000001,1.67652285604192
87,0.0870000000000001,1.68485589794185
88,0.0880000000000001,1.69318823873078
89,0.0890000000000001,1.70151946188276
90,0.0900000000000001,1.70984915106409
91,0.0910000000000001,1.71817689021654
92,0.0920000000000001,1.72650226364049
93,0.0930000000000001,1.73482485607783
94,0.0940000000000001,1.74314425279481
95,0.0950000000000001,1.7514600396646
96,0.0960000000000001,1.75977180324962
97,0.0970000000000001,1.76807913088358
98,0.0980000000000001,1.77638161075322
99,0.0990000000000001,1.78467883197968
100,0.1,1.79297038469953
101,0.101,1.8012558601453
102,0.102,1.80953485072563
103,0.103,1.81780695010491
104,0.104,1.82607175328241
105,0.105,1.83432885667083
106,0.106,1.84257785817429
107,0.107,1.85081835726573
108,0.108,1.85904995506361
109,0.109,1.86727225440798
110,0.11,1.87548485993582
111,0.111,1.88368737815563
112,0.112,1.89187941752132
113,0.113,1.90006058850521
114,0.114,1.90823050367029
115,0.115,1.91638877774158
116,0.116,1.92453502767663
117,0.117,1.93266887273513
118,0.118,1.94078993454757
119,0.119,1.94889783718292
120,0.12,1.95699220721542
121,0.121,1.96507267379027
122,0.122,1.97313886868834
123,0.123,1.98119042638984
124,0.124,1.98922698413688
125,0.125,1.99724818199499
126,0.126,2.0052536629135
127,0.127,2.01324307278475
128,0.128,2.02121606050225
129,0.129,2.02917227801757
130,0.13,2.03711138039612
131,0.131,2.04503302587167
132,0.132,2.05293687589967
133,0.133,2.06082259520938
134,0.134,2.06868985185469
135,0.135,2.07653831726374
136,0.136,2.08436766628719
137,0.137,2.09217757724527
138,0.138,2.09996773197354
139,0.139,2.10773781586728
140,0.14,2.11548751792464
141,0.141,2.1232165307884
142,0.142,2.13092455078645
143,0.143,2.13861127797088
144,0.144,2.1462764161558
145,0.145,2.15391967295371
146,0.146,2.16154075981064
147,0.147,2.16913939203978
148,0.148,2.17671528885388
149,0.149,2.18426817339623
150,0.15,2.19179777277026
151,0.151,2.1993038180678
152,0.152,2.20678604439597
153,0.153,2.21424419090271
154,0.154,2.2216780008009
155,0.155,2.22908722139118
156,0.156,2.23647160408338
157,0.157,2.2438309044166
158,0.158,2.25116488207792
159,0.159,2.2584733009198
160,0.16,2.26575592897609
161,0.161,2.27301253847678
162,0.162,2.28024290586133
163,0.163,2.28744681179075
164,0.164,2.29462404115835
165,0.165,2.30177438309914
166,0.166,2.30889763099806
167,0.167,2.31599358249676
168,0.168,2.32306203949923
169,0.169,2.33010280817613
170,0.17,2.33711569896788
171,0.171,2.34410052658647
172,0.172,2.35105711001611
173,0.173,2.3579852725126
174,0.174,2.36488484160156
175,0.175,2.37175564907547
176,0.176,2.37859753098946
177,0.177,2.38541032765607
178,0.178,2.39219388363876
179,0.179,2.3989480477444
180,0.18,2.40567267301451
181,0.181,2.41236761671559
182,0.182,2.41903274032821
183,0.183,2.42566790953515
184,0.184,2.43227299420846
185,0.185,2.43884786839548
186,0.186,2.4453924103039
187,0.187,2.45190650228582
188,0.188,2.45839003082083
189,0.189,2.46484288649812
190,0.19,2.47126496399774
191,0.191,2.47765616207087
192,0.192,2.48401638351923
193,0.193,2.49034553517365
194,0.194,2.49664352787171
195,0.195,2.50291027643463
196,0.196,2.50914569964333
197,0.197,2.51534972021365
198,0.198,2.52152226477085
199,0.199,2.52766326382335
200,0.2,2.53377265173574
201,0.201,2.53985036670104
202,0.202,2.54589635071236
203,0.203,2.55191054953377
204,0.204,2.55789291267065
205,0.205,2.56384339333928
206,0.206,2.56976194843596
207,0.207,2.57564853850544
208,0.208,2.58150312770877
209,0.209,2.58732568379075
210,0.21,2.59311617804665
211,0.211,2.59887458528857
212,0.212,2.60460088381128
213,0.213,2.61029505535754
214,0.214,2.61595708508305
215,0.215,2.62158696152089
216,0.216,2.62718467654565
217,0.217,2.63275022533708
218,0.218,2.63828360634341
219,0.219,2.64378482124434
220,0.22,2.64925387491366
221,0.221,2.65469077538156
222,0.222,2.66009553379669
223,0.223,2.66546816438788
224,0.224,2.67080868442566
225,0.225,2.67611711418351
226,0.226,2.68139347689887
227,0.227,2.68663779873399
228,0.228,2.69185010873657
229,0.229,2.69703043880022
230,0.23,2.70217882362478
231,0.231,2.70729530067649
232,0.232,2.71237991014806
233,0.233,2.71743269491861
234,0.234,2.72245370051356
235,0.235,2.72744297506438
236,0.236,2.73240056926834
237,0.237,2.73732653634821
238,0.238,2.7422209320119
239,0.239,2.74708381441213
240,0.24,2.75191524410603
241,0.241,2.75671528401486
242,0.242,2.76148399938365
243,0.243,2.76622145774093
244,0.244,2.77092772885854
245,0.245,2.77560288471145
246,0.246,2.78024699943771
247,0.247,2.78486014929844
248,0.248,2.78944241263798
249,0.249,2.79399386984409
250,0.25,2.79851460330835
251,0.251,2.80300469738664
252,0.252,2.80746423835979
253,0.253,2.81189331439438
254,0.254,2.81629201550372
255,0.255,2.82066043350899
256,0.256,2.82499866200059
257,0.257,2.82930679629968
258,0.258,2.83358493341991
259,0.259,2.8378331720294
260,0.26,2.84205161241288
261,0.261,2.84624035643415
262,0.262,2.85039950749871
263,0.263,2.85452917051665
264,0.264,2.85862945186583
265,0.265,2.86270045935526
266,0.266,2.86674230218884
267,0.267,2.87075509092925
268,0.268,2.87473893746225
269,0.269,2.87869395496119
270,0.27,2.88262025785181
271,0.271,2.8865179617774
272,0.272,2.89038718356418
273,0.273,2.89422804118708
274,0.274,2.89804065373577
275,0.275,2.90182514138102
276,0.276,2.90558162534137
277,0.277,2.90931022785022
278,0.278,2.9130110721231
279,0.279,2.9166842823254
280,0.28,2.92032998354036
281,0.281,2.92394830173747
282,0.282,2.92753936374114
283,0.283,2.93110329719979
284,0.284,2.93464023055523
285,0.285,2.9381502930124
286,0.286,2.94163361450954
287,0.287,2.94509032568859
288,0.288,2.94852055786609
289,0.289,2.95192444300427
290,0.29,2.95530211368269
291,0.291,2.95865370307011
292,0.292,2.96197934489674
