Angle,Time,X,Y,Vx,Vy,Velocity
35,0,0,0,573.406431002294,401.503505445732,700
35,0.1,41.6866475338668,29.0913048459047,416.866475338668,290.913048459047,508.338528959807
35,0.2,75.1328401867169,52.3339533259354,334.461926528501,232.426484800306,407.292095594529
35,0.3,103.294039539936,71.8059194544168,281.611993532193,194.719661284814,342.375614482177
35,0.4,127.721877025931,88.5984651358443,244.278374859945,167.925456814274,296.430233732152
35,0.5,149.350576299378,103.368785787947,216.28699273447,147.703206521025,261.908954491276
35,0.6,168.792742217529,116.547914530267,194.421659181515,131.791287423199,234.880235438313
35,0.7,186.474578039912,128.435780286416,176.81835822383,118.878657561495,213.065405518103
35,0.8,202.705882889131,139.250423918724,162.313048492186,108.146436323083,195.041476102417
35,0.9,217.719607901384,149.155814718744,150.137250122532,99.0539080001994,179.869037258967
35,1,231.695728717027,158.278640225689,139.76120815643,91.2282550694466,166.90053872999
35,1.1,244.776412528477,166.71897482493,130.806838114498,84.4033459924066,155.67386971559
35,1.2,257.076061758912,174.557345465377,122.996492304355,78.3837064044762,145.849725912936
35,1.3,268.688196237091,181.859573899653,116.121344781787,73.0222843427567,137.172959159468
35,1.4,279.690306449095,188.68019184867,110.021102120041,68.2061794901736,129.447772604839
35,1.5,290.147360933691,195.064909448942,104.570544845962,63.8471760027186,122.521266451598
35,1.6,300.114395301008,201.052437629106,99.6703436731651,59.8752818016396,116.272209830005
35,1.7,309.638459021105,206.675858646852,95.2406372009722,56.2342101774579,110.603188781923
35,1.8,318.760103345805,211.963673769411,91.2164432469977,52.8781512255933,105.4349960671
35,1.9,327.51453508774,216.940615841979,87.5443174193557,49.7694207256804,100.702545905209
35,2,335.932522916603,221.628287719589,84.1798782886288,46.8767187760954,96.3518483055799
35,2.1,344.041117531019,226.045669745992,81.0859461441545,44.1738202640357,92.3377336672936
35,2.2,351.86422988526,230.209527385629,78.2311235424097,41.6385763963624,88.6221176401438
35,2.3,359.423099760829,234.13474176032,75.588698755697,39.2521437469127,85.1726609206723
35,2.4,366.736678602293,237.834579965173,73.1357884146328,36.9983820485281,81.9617216829832
35,2.5,373.821944552052,241.320917841432,70.8526594975955,34.8633787625898,78.9655275207226
35,2.6,380.694163281482,244.604424847694,68.7221872942961,32.8350700626275,76.1635139192643
35,2.7,387.36710503549,247.694718448979,66.729417540084,30.9029360128478,73.5377904172612
35,2.8,393.853225952943,250.60049380133,64.8612091745267,29.0577535235086,71.0727056992674
35,2.9,400.16381996906,253.329633286409,63.1059401611702,27.2913948507875,68.7544901553839
35,3,406.309146289421,255.889299532527,61.4532632036145,25.5966624611858,66.5709597912227
35,3.1,412.298536436287,258.286014864888,59.8939014686517,23.9671533236079,64.5112693377978
35,3.2,418.140484125777,260.525729599598,58.4194768949019,22.3971473470954,62.5657053821139
35,3.3,423.842720679944,262.613881189784,57.0223655416683,20.8815159018675,60.7255125818431
35,3.4,429.412278266748,264.555445915142,55.6955758680477,19.4156472535755,58.9827477280326
35,3.5,434.855542959941,266.354984553422,54.4326469319224,17.9953863827976,57.3301577102445
35,3.6,440.178299393571,268.016683264464,53.2275643363005,16.6169871104175,55.7610784131978
35,3.7,445.385768631428,269.544390739197,52.074692378571,15.2770747473322,54.2693523008924
35,3.8,450.482640762728,270.941652505919,50.9687213130058,13.9726176672175,52.8492629726952
35,3.9,455.473103657057,272.211743135006,49.9046289432845,12.7009062908733,51.4954853416924
35,4,460.360869250673,273.357696934298,48.8776559361642,11.4595379929241,50.2030503139532
35,4.1,465.149198680496,274.382337575972,47.8832942982312,10.2464064167396,48.9673229542725
35,4.2,469.840927519095,275.288306939024,46.917288385991,9.0596936305195,47.7839931166611
