Angle,Time,X,Y,Vx,Vy,Velocity
35,0,0,0,573.406431002294,401.503505445732,700
35,0.1,41.6866475338668,29.0913048459047,416.866475338668,290.913048459047,508.338528959807
35,0.2,75.1223845804663,52.3266568114211,334.357370465995,232.353519655163,407.164597283552
35,0.3,103.264374507764,71.785248013806,281.419899272981,194.58591202385,342.141545073041
35,0.4,127.666415656224,88.5598765819465,244.020411484595,167.746285681405,296.116155555584
35,0.5,149.264432894511,103.308942644018,215.980172382874,147.490660620715,261.53571425882
35,0.6,168.672287686229,116.464369071454,194.07854791718,131.554264274362,234.463232107743
35,0.7,186.31710833045,128.326739875002,176.448206442208,118.623708035475,212.615976974351
35,0.8,202.50938177685,139.114583128758,161.922734463999,107.878432537563,194.56805529958
35,0.9,217.482577307841,148.992235215593,149.731955309909,98.7765208683457,179.377979461759
35,1,231.417065952952,158.086663816386,139.344886451114,90.944286007937,166.396696294029
35,1.1,244.455320196379,166.498159594506,130.382542434262,84.1149577811991,155.160992179591
35,1.2,256.711980651081,174.307418169446,122.566604547024,78.0925857493991,145.330741755535
35,1.3,268.28075466152,181.580393972884,115.687740104395,72.7297580343794,136.650177146615
35,1.4,279.239281468661,188.371723839449,109.585268071408,67.9132986656497,128.923027865204
35,1.5,289.652648370162,194.72720165579,104.133669015011,63.5547781634122,121.996028008819
35,1.6,299.575986274936,200.685605364062,99.2333790477396,59.5840370827204,115.747660850262
35,1.7,309.056421425891,206.280070994231,94.8043515095436,55.9446563016901,110.080287217373
35,1.8,318.134567087938,211.539143015011,90.781456620475,52.5907202077956,104.914521006912
35,1.9,326.845680228817,216.487588962729,87.1111314087853,49.4844594771866,100.185133353547
35,2,335.220570067228,221.147039476028,83.7488983841152,46.5945051329894,95.8380190171992
35,2.1,343.286319999243,225.536497029022,80.6574993201503,43.894575529935,91.8279149144377
35,2.2,351.066867190771,229.672744547745,77.8054719152777,41.3624751872289,88.1166602497688
35,2.3,358.58347220319,233.570676718903,75.1660501241901,38.9793217115791,84.6718525388871
35,2.4,365.855102625814,237.24357090774,72.7163042262403,36.7289418883739,81.4657969491657
35,2.5,372.898748687832,240.703310394736,70.4364606201776,34.597394869962,78.4746756379783
35,2.6,379.729684473622,243.960569597591,68.309357857904,32.5725920285443,75.6778839715883
35,2.7,386.361685177449,247.024968718779,66.3200070382634,30.6439912118803,73.0574946938991
35,2.8,392.807208474522,249.905203614887,64.4552329707341,28.8023489610805,70.5978212339975
35,2.9,399.077546327421,252.6091554599,62.703378528991,27.039518450127,68.2850586656019
35,3,405.182952230927,255.14398385681,61.0540590350548,25.3482839691042,66.1069862029295
35,3.1,411.132747911849,257.516206358996,59.497956809224,23.7222250218577,64.0527191027823
35,3.2,416.935412762263,259.731766835523,58.026648504134,22.1556047652699,62.1125008282323
35,3.3,422.598658735241,261.796094709015,56.6324597297807,20.6432787349195,60.2775285821575
35,3.4,428.129493027303,263.714156777879,55.3083429206286,19.1806206886446,58.539807025882
35,3.5,433.534270577427,265.490503081188,54.047775501237,17.7634630330896,56.8920262915644
35,3.6,438.818738202134,267.12930805476,52.8446762470688,16.3880497357178,55.3274613713468
35,3.7,443.988072038548,268.634408045677,51.6933383641409,15.0509999091691,53.8398906898535
35,3.8,449.046909864652,270.009336087678,50.5883782610431,13.7492804200115,52.4235321888033
35,3.9,453.999379793048,271.25735468242,49.5246992839543,12.4801859474155,51.0729956087185
35,4,458.849126777502,272.381487174671,48.4974698445428,11.2413249225154,49.7832498671582
35,4.1,463.599338317315,273.384548148386,47.502115398132,10.0306097371451,48.549604519464
35,4.2,468.252770679527,274.269173102503,46.5343236221172,8.84624954116936,47.3677042499695
