Angle,Time,X,Y,Vx,Vy,Velocity
35,0,0,0,573.406431002294,401.503505445732,700
35,0.1,41.6866475338668,29.0913048459047,416.866475338668,290.913048459047,508.338528959807
35,0.2,75.1088327247272,52.3171995585629,334.221851908604,232.258947126582,406.999342522276
35,0.3,103.225923030236,71.7584539589792,281.170903055086,194.412544004162,341.838140047279
35,0.4,127.59453073285,88.50986108407,243.686077026138,167.514071250908,295.70909388019
35,0.5,149.152791063347,103.231386274511,215.582603304977,147.215251904411,261.052081472319
35,0.6,168.516198188288,116.356108395522,193.634071249403,131.247221210105,233.923035684802
35,0.7,186.11308199264,128.185462328516,175.968838043522,118.293539329946,212.033944003296
35,0.8,202.254822493662,138.938608679436,161.417405010225,107.531463509194,193.955134721059
35,0.9,217.175561347817,148.780360130179,149.207388541543,98.417514507439,178.742417901316
35,1,231.056182315501,157.838047585154,138.806209676841,90.5768745497456,165.744785884961
35,1.1,244.039553468586,166.212241897668,129.83371153085,83.7419431251404,154.497591205333
35,1.2,256.24062378976,173.983856998819,122.010703211746,77.7161510115087,144.659641318056
35,1.3,267.75334315265,181.219018869107,115.127193628895,72.3516187028833,135.974363178478
35,1.4,278.655542987309,187.972500092583,109.021998346591,67.5348122347626,128.244871192063
35,1.5,289.012463842247,194.290202573517,103.569208549377,63.1770248093314,121.317424236188
35,1.6,298.879359439158,200.210990557399,98.6689559691172,59.2078798388216,115.070134731145
35,1.7,308.303454810767,205.768069207733,94.2409537160816,55.5707865033472,109.405071499987
35,1.8,317.325442883428,210.990038427612,90.2198807266107,52.2196921987897,104.242616676963
35,1.9,325.980644927041,215.901710165103,86.5520204361359,49.1167173749019,99.517356110697
35,2,334.299922025655,220.524750528541,83.1927709861421,46.2304036343822,95.1750354060905
35,2.1,342.310399277665,224.878190146127,80.1047725200965,43.5343961758566,91.1702705430495
35,2.2,350.036047153988,228.97883405687,77.2564787632298,41.0064391074366,87.4648018300235
35,2.3,357.498152480718,232.841594016324,74.6210532672961,38.627599594541,84.0261449856938
35,2.4,364.715703089621,236.479760188831,72.1755060890355,36.3816617250629,80.8265364164846
35,2.5,371.705704157565,239.905224977537,69.9000106794383,34.2546478870612,77.8420991164301
35,2.6,378.483439892459,243.128668691402,67.7773573489375,32.234437138653,75.0521758968476
35,2.7,385.062691025862,246.159714516946,65.7925113340323,30.3104582554402,72.438790901654
35,2.8,391.455916208123,249.007058615771,63.932251822614,28.4734409882491,69.9862105333717
35,2.9,397.674403642264,251.678579944121,62.184874341403,26.7152132834984,67.6805822791064
35,3,403.728397978271,254.181433473479,60.539943360074,25.0285352935811,65.5096353293392
35,3.1,409.627206506926,256.522129799496,58.9880852865531,23.4069632601761,63.4624308929062
35,3.2,415.379287960118,258.70660360061,57.5208145319155,21.8447380111331,61.5291531161454
35,3.3,420.992326682929,260.740273003138,56.1303872281136,20.3366940252778,59.7009337804338
35,3.4,426.473294546725,262.628091592904,54.8096786379536,18.8781858976662,57.9697056675518
35,3.5,431.828502687679,264.374594558766,53.5520814095404,17.4650296586158,56.3280807792203
35,3.6,437.063644954741,265.983940240852,52.3514226706212,16.093456820863,54.7692505707629
35,3.7,442.183834813092,267.459948170272,51.2018985835142,14.7600792942045,53.2869060776442
35,3.8,447.19363735551,268.806134515312,50.0980254241799,13.4618634503927,51.875176327014
35,3.9,452.097098008777,270.025745682414,49.0346065326665,12.196111671018,50.5285837690446
35,4,456.897769470683,271.121790651578,48.0067146190608,10.9604496916418,49.2420156569464
35,4.1,461.598738360748,272.097072450392,47.0096889006524,9.75281798814784,48.0107103597319
35,4.2,466.202652998902,272.954218986116,46.0391463815346,8.57146535723129,46.8302575042097
