Step,Time,NA,NB
218,21.8,50.6113001541432,49.3886998458568
219,21.9,50.5990741510603,49.4009258489397
220,22,50.5870926680391,49.4129073319609
221,22.1,50.5753508146783,49.4246491853216
222,22.2,50.5638437983848,49.4361562016152
223,22.3,50.5525669224171,49.4474330775829
224,22.4,50.5415155839687,49.4584844160312
225,22.5000000000001,50.5306852722894,49.4693147277106
226,22.6000000000001,50.5200715668436,49.4799284331564
227,22.7000000000001,50.5096701355067,49.4903298644933
228,22.8000000000001,50.4994767327966,49.5005232672034
229,22.9000000000001,50.4894871981406,49.5105128018593
230,23.0000000000001,50.4796974541778,49.5203025458222
231,23.1000000000001,50.4701035050943,49.5298964949057
232,23.2000000000001,50.4607014349924,49.5392985650076
233,23.3000000000001,50.4514874062925,49.5485125937075
234,23.4000000000001,50.4424576581667,49.5575423418333
235,23.5000000000001,50.4336085050034,49.5663914949966
236,23.6000000000001,50.4249363349033,49.5750636650967
237,23.7000000000001,50.4164376082052,49.5835623917948
238,23.8000000000001,50.4081088560411,49.5918911439589
239,23.9000000000001,50.3999466789203,49.6000533210797
240,24.0000000000001,50.3919477453419,49.6080522546581
241,24.1000000000001,50.3841087904351,49.6158912095649
242,24.2000000000001,50.3764266146264,49.6235733853736
243,24.3000000000001,50.3688980823338,49.6311019176662
244,24.4000000000001,50.3615201206872,49.6384798793128
245,24.5000000000001,50.3542897182734,49.6457102817266
246,24.6000000000001,50.3472039239079,49.6527960760921
247,24.7000000000001,50.3402598454298,49.6597401545702
248,24.8000000000001,50.3334546485212,49.6665453514788
249,24.9000000000001,50.3267855555508,49.6732144444492
250,25.0000000000001,50.3202498444398,49.6797501555602
251,25.1000000000001,50.313844847551,49.686155152449
252,25.2000000000001,50.3075679505999,49.6924320494001
253,25.3000000000001,50.3014165915879,49.6985834084121
254,25.4000000000001,50.2953882597562,49.7046117402438
255,25.5000000000001,50.289480494561,49.7105195054389
256,25.6000000000001,50.2836908846698,49.7163091153302
257,25.7000000000001,50.2780170669764,49.7219829330236
258,25.8000000000001,50.2724567256369,49.7275432743631
259,25.9000000000001,50.2670075911242,49.7329924088758
260,26.0000000000001,50.2616674393017,49.7383325606983
261,26.1000000000001,50.2564340905156,49.7435659094844
262,26.2000000000001,50.2513054087053,49.7486945912947
263,26.3000000000001,50.2462793005312,49.7537206994688
264,26.4000000000001,50.2413537145206,49.7586462854794
265,26.5000000000001,50.2365266402302,49.7634733597698
266,26.6000000000001,50.2317961074256,49.7682038925744
267,26.7000000000001,50.2271601852771,49.7728398147229
268,26.8000000000001,50.2226169815715,49.7773830184285
269,26.9000000000001,50.2181646419401,49.7818353580599
270,27.0000000000001,50.2138013491013,49.7861986508987
271,27.1000000000001,50.2095253221193,49.7904746778807
272,27.2000000000001,50.2053348156769,49.7946651843231
273,27.3000000000001,50.2012281193634,49.7987718806366
274,27.4000000000001,50.1972035569761,49.8027964430239
275,27.5000000000001,50.1932594858366,49.8067405141634
276,27.6000000000001,50.1893942961198,49.8106057038802
277,27.7000000000001,50.1856064101974,49.8143935898026
278,27.8000000000001,50.1818942819935,49.8181057180065
279,27.9000000000001,50.1782563963536,49.8217436036464
