Step,Time,NA,NB
0,0,100,0
1,0.1,99,1
2,0.2,98.01,1.97
3,0.3,97.0299,2.9107
4,0.4,96.059601,3.822785
5,0.5,95.09900499,4.70692531
6,0.6,94.1480149401,5.5637768537
7,0.7,93.206534790699,6.393981466027
8,0.8,92.274469442792,7.19816718461345
9,0.9,91.3517247483641,7.9769485353491
10,1,90.4382075008805,8.73092681212576
11,1.1,89.5338254258717,9.46069035089205
12,1.2,88.6384871716129,10.1668147981329
13,1.3,87.7521022998968,10.8498633738864
14,1.4,86.8745812768978,11.5103871294076
15,1.5,86.0058354641289,12.1489251995885
16,1.6,85.1457771094876,12.766005050238
17,1.7,84.2943193383927,13.3621427203281
18,1.8,83.4513761450088,13.9378430593055
19,1.9,82.6168623835587,14.4935999595694
20,2,81.7906937597231,15.0298965842136
21,2.1,80.9727868221259,15.5472055901266
22,2.2,80.1630589539046,16.0459893465453
23,2.3,79.3614283643656,16.5267001491535
24,2.4,78.5678140807219,16.9897804298141
25,2.5,77.7821359399147,17.435662962025
26,2.6,77.0043145805156,17.8647710621836
27,2.7,76.2342714347104,18.2775187867451
28,2.8,75.4719287203633,18.6743111253573
29,2.9,74.7172094331597,19.0555441900538
30,3,73.9700373388281,19.4216054005843
31,3.1,73.2303369654398,19.7728736659609
32,3.2,72.4980335957854,20.1097195622961
33,3.3,71.7730532598275,20.432505507008
34,3.4,71.0553227272293,20.7415859294662
35,3.5,70.344769499957,21.0373074381491
36,3.6,69.6413218049574,21.3200089843857
37,3.7,68.9449085869078,21.5900220227476
38,3.8,68.2554595010388,21.8476706681617
39,3.9,67.5729049060284,22.0932718498088
40,4,66.8971758569681,22.327135461873
41,4.1,66.2282040983984,22.5495645112052
42,4.2,65.5659220574144,22.7608552619651
43,4.3,64.9102628368403,22.9612973772999
44,4.4,64.2611602084719,23.1511740581223
45,4.5,63.6185486063872,23.3307621790446
46,4.6,62.9823631203233,23.5003324215276
47,4.7,62.3525394891201,23.6601494043002
48,4.8,61.7290140942289,23.8104718111054
49,4.9,61.1117239532866,23.9515525158256
50,5,60.5006067137537,24.083638705042
51,5.1,59.8956006466162,24.2069719980787
52,5.2,59.29664464015,24.3217885645833
53,5.3,58.7036781937485,24.4283192396931
54,5.4,58.116641411811,24.5267896368367
55,5.5,57.5354749976929,24.6174202582181
56,5.6,56.960120247716,24.7004266030307
57,5.7,56.3905190452388,24.7760192734472
58,5.8,55.8266138547864,24.8444040784306
59,5.9,55.2683477162386,24.9057821354099
60,5.99999999999999,54.7156642390762,24.9603499698641
61,6.09999999999999,54.1685075966854,25.0082996128576
62,6.19999999999999,53.6268225207186,25.0498186965673
63,6.29999999999999,53.0905542955114,25.0850905478431
64,6.39999999999999,52.5596487525563,25.1142942798414
65,6.49999999999999,52.0340522650307,25.1376048817701
66,6.59999999999999,51.5137117423804,25.155193306785
67,6.69999999999999,50.9985746249566,25.1672265580731
68,6.79999999999999,50.488588878707,25.1738677731612
69,6.89999999999999,49.98370298992,25.1752763064851
70,6.99999999999999,49.4838659600208,25.1716078102546
71,7.09999999999999,48.9890273004206,25.1630143136497
72,7.19999999999999,48.4991370274163,25.1496443003809
73,7.29999999999999,48.0141456571422,25.1316427846474
74,7.39999999999999,47.5340042005708,25.1091513855259
75,7.49999999999999,47.0586641585651,25.0823083998211
76,7.59999999999999,46.5880775169794,25.0512488734103
77,7.69999999999999,46.1221967418096,25.0161046711119
78,7.79999999999999,45.6609747743915,24.9770045451078
79,7.89999999999999,45.2043650266476,24.9340742019495
80,7.99999999999999,44.7523213763811,24.887436368177
81,8.09999999999999,44.3047981626173,24.8372108545773
82,8.19999999999999,43.8617501809911,24.7835146191119
83,8.29999999999999,43.4231326791812,24.7264618285396
84,8.39999999999999,42.9889013523894,24.6661639187606
85,8.49999999999999,42.5590123388655,24.6027296539093
86,8.59999999999999,42.1334222154769,24.5362651842198
87,8.69999999999999,41.7120879933221,24.4668741026901
88,8.79999999999998,41.2949671133889,24.3946575005695
89,8.89999999999998,40.882017442255,24.319714021692
90,8.99999999999998,40.4731972678324,24.2421399156808
91,9.09999999999998,40.0684652951541,24.1620290900455
92,9.19999999999998,39.6677806422026,24.0794731611961
93,9.29999999999998,39.2711028357806,23.9945615043942
94,9.39999999999998,38.8783918074227,23.9073813026641
95,9.49999999999998,38.4896078893485,23.8180175946851
96,9.59999999999998,38.104711810455,23.7265533216849
97,9.69999999999998,37.7236646923505,23.6330693733557
98,9.79999999999998,37.346428045427,23.5376446328121
99,9.89999999999998,36.9729637649727,23.4403560206101
100,9.99999999999998,36.603234127323,23.3412785378476
101,10.1,36.2372017860498,23.2404853083639
102,10.2,35.8748297681893,23.1380476200571
103,10.3,35.5160814705074,23.0340349653379
104,10.4,35.1609206558023,22.9285150807362
105,10.5,34.8093114492443,22.8215539856795
106,10.6,34.4612183347518,22.7132160204584
107,10.7,34.1166061514043,22.6035638833967
108,10.8,33.7754400898903,22.4926586672428
109,10.9,33.4376856889914,22.3805598947969
110,11,33.1033088321014,22.2673255537908
111,11.1,32.7722757437804,22.153012131036
112,11.2,32.4445529863426,22.0376746458531
113,11.3,32.1201074564792,21.9213666827995
114,11.4,31.7989063819144,21.8041404237083
115,11.5,31.4809173180953,21.6860466790533
116,11.6,31.1661081449143,21.5671349186532
117,11.7,30.8544470634652,21.4474533017292
118,11.8,30.5459025928305,21.3270487063293
119,11.9,30.2404435669022,21.205966758131
120,12,29.9380391312332,21.0842518586374
121,12.1,29.6386587399209,20.961947212777
122,12.2,29.3422721525217,20.8390948559207
123,12.3,29.0488494309964,20.7157356803275
124,12.4,28.7583609366865,20.5919094610309
125,12.5,28.4707773273196,20.4676548811771
126,12.6,28.1860695540464,20.3430095568268
127,12.7,27.9042088585059,20.2180100612307
128,12.8,27.6251667699209,20.0926919485912
129,12.9,27.3489151022217,19.9670897773186
130,13,27.0754259511995,19.8412371327944
131,13.1,26.8046716916875,19.7151666496505
132,13.2,26.5366249747706,19.5889100335744
133,13.3,26.2712587250229,19.4624980826506
134,13.4,26.0085461377727,19.3359607082478
135,13.5,25.7484606763949,19.2093269554606
136,13.6,25.490976069631,19.0826250231153
137,13.7,25.2360663089347,18.9558822833493
138,13.8,24.9837056458453,18.8291253007717
139,13.9,24.7338685893869,18.7023798512147
140,14,24.486529903493,18.5756709400843
141,14.1,24.2416646044581,18.4490228203175
142,14.2,23.9992479584135,18.3224590099557
143,14.3,23.7592554788293,18.1960023093408
144,14.4,23.5216629240411,18.0696748179422
145,14.5,23.2864462948006,17.9434979508238
146,14.6,23.0535818318526,17.8174924547553
147,14.7,22.8230460135341,17.6916784239788
148,14.8,22.5948155533988,17.5660753156345
149,14.9,22.3688673978648,17.4407019648558
150,15,22.1451787238861,17.3155765995374
151,15.1,21.9237269366473,17.1907168547855
152,15.2,21.7044896672808,17.0661397870562
153,15.3,21.487444770608,16.9418618879879
154,15.4,21.2725703229019,16.8178990979342
155,15.5,21.0598446196729,16.6942668192046
156,15.6,20.8492461734762,16.5709799290172
157,15.7,20.6407537117414,16.4480527921716
158,15.8,20.434346174624,16.3254992734456
159,15.9,20.2300027128777,16.2033327497229
160,16,20.027702685749,16.0815661218573
161,16.1,19.8274256588915,15.9602118262776
162,16.2,19.6291514023026,15.839281846341
163,16.3,19.4328598882795,15.7187877234372
164,16.4,19.2385312893967,15.5987405678512
165,16.5,19.0461459765028,15.4791510693882
166,16.6,18.8556845167377,15.3600295077654
167,16.7,18.6671276715704,15.2413857627775
168,16.8,18.4804563948547,15.1232293242377
169,16.9,18.2956518309061,15.0055693017014
170,17,18.1126953125971,14.8884144339765
171,17.1,17.9315683594711,14.7717730984229
172,17.2,17.7522526758764,14.6556533200492
173,17.3,17.5747301491176,14.5400627804069
174,17.4,17.3989828476264,14.42500882629
175,17.5,17.2249930191502,14.3104984782405
176,17.6,17.0527430889587,14.1965384388671
177,17.7,16.8822156580691,14.0831351009794
178,17.8,16.7133935014884,13.9702945555405
179,17.9,16.5462595664735,13.8580225994446
180,18,16.3807969708088,13.7463247431204
181,18.1,16.2169890011007,13.6352062179661
182,18.2,16.0548191110897,13.5246719836178
183,18.3,15.8942709199788,13.4147267350563
184,18.4,15.735328210779,13.305374909555
185,18.5,15.5779749286712,13.1966206934717
186,18.6,15.4221951793845,13.0884680288889
187,18.7,15.2679732275906,12.980920620105
188,18.8,15.1152934953147,12.8739819399788
189,18.9,14.9641405603616,12.7676552361324
190,19,14.814499154758,12.6619435370134
191,19.1,14.6663541632104,12.5568496578207
192,19.2,14.5196906215783,12.4523762062964
193,19.3,14.3744937153625,12.3485255883862
194,19.4,14.2307487782089,12.2453000137721
195,19.5,14.0884412904268,12.1427015012788
196,19.6,13.9475568775225,12.0407318841575
197,19.7,13.8080813087473,11.9393928152495
198,19.8,13.6700004956598,11.838685772032
199,19.9,13.5333004907032,11.738612061548
200,20,13.3979674857962,11.639172825224
201,20.1,13.2639878109382,11.5403690435775
202,20.2,13.1313479328289,11.4422015408154
203,20.3,13.0000344535006,11.3446709893273
204,20.4,12.8700341089656,11.2477779140758
205,20.5,12.7413337678759,11.1515226968839
206,20.6,12.6139204301971,11.055905580625
207,20.7,12.4877812258952,10.9609266733145
208,20.8,12.3629034136362,10.8665859521072
209,20.9,12.2392743794999,10.7728832672014
210,21,12.1168816357049,10.6798183456523
211,21.1,11.9957128193478,10.5873907950963
212,21.2,11.8757556911543,10.4956001073879
213,21.3,11.7569981342428,10.4044456621517
214,21.4,11.6394281529004,10.3139267302511
215,21.5,11.5230338713714,10.2240424771751
216,21.6,11.4078035326576,10.1347919663453
217,21.7,11.2937254973311,10.0461741623449
