Simulation:,Maximum Range
Trajectory,X,Y
Maximum Range,5917.05019246303,5232.16034410155
Maximum Range,5955.04509282515,5259.01350017477
Maximum Range,5992.99820163029,5285.73911977885
Maximum Range,6030.90977261177,5312.33748949776
Maximum Range,6068.78005697739,5338.80889295004
Maximum Range,6106.60930344054,5365.15361082758
Maximum Range,6144.39775825086,5391.37192093372
Maximum Range,6182.14566522431,5417.46409822081
Maximum Range,6219.85326577288,5443.43041482719
Maximum Range,6257.52079893374,5469.27114011353
Maximum Range,6295.148501398,5494.98654069866
Maximum Range,6332.73660753897,5520.57688049483
Maximum Range,6370.28534944002,5546.04242074246
Maximum Range,6407.79495692196,5571.38342004426
Maximum Range,6445.26565757007,5596.60013439894
Maximum Range,6482.69767676063,5621.69281723435
Maximum Range,6520.09123768709,5646.66171944012
Maximum Range,6557.44656138583,5671.50708939981
Maximum Range,6594.76386676152,5696.22917302257
Maximum Range,6632.04337061209,5720.82821377431
Maximum Range,6669.28528765335,5745.30445270847
Maximum Range,6706.48983054316,5769.65812849622
Maximum Range,6743.65720990533,5793.88947745631
Maximum Range,6780.78763435311,5817.9987335844
Maximum Range,6817.88131051232,5841.98612858205
Maximum Range,6854.93844304412,5865.85189188513
Maximum Range,6891.95923466752,5889.596250692
Maximum Range,6928.94388618146,5913.21942999112
Maximum Range,6965.89259648659,5936.72165258832
Maximum Range,7002.80556260675,5960.10313913373
Maximum Range,7039.68297971014,5983.36410814817
Maximum Range,7076.5250411301,6006.50477604932
Maximum Range,7113.33193838568,6029.52535717741
Maximum Range,7150.10386120186,6052.42606382056
Maximum Range,7186.84099752947,6075.20710623979
Maximum Range,7223.54353356484,6097.86869269363
Maximum Range,7260.21165376915,6120.41102946244
Maximum Range,7296.84554088748,6142.83432087226
Maximum Range,7333.44537596765,6165.13876931851
Maximum Range,7370.01133837869,6187.32457528918
Maximum Range,7406.54360582917,6209.39193738777
Maximum Range,7443.04235438509,6231.34105235597
Maximum Range,7479.50775848774,6253.17211509586
Maximum Range,7515.93999097106,6274.88531869199
Maximum Range,7552.33922307898,6296.480854433
Maximum Range,7588.70562448231,6317.95891183304
Maximum Range,7625.03936329558,6339.31967865284
Maximum Range,7661.34060609347,6360.56334092052
Maximum Range,7697.60951792714,6381.69008295208
Maximum Range,7733.84626234025,6402.70008737169
Maximum Range,7770.05100138477,6423.59353513158
Maximum Range,7806.22389563661,6444.37060553177
Maximum Range,7842.36510421099,6465.03147623949
Maximum Range,7878.47478477759,6485.57632330831
Maximum Range,7914.55309357552,6506.0053211971
Maximum Range,7950.60018542805,6526.31864278861
Maximum Range,7986.61621375719,6546.51645940792
Maximum Range,8022.60133059797,6566.5989408406
Maximum Range,8058.55568661265,6586.56625535057
Maximum Range,8094.47943110463,6606.41856969786
Maximum Range,8130.37271203218,6626.15604915599
Maximum Range,8166.23567602209,6645.7788575292
Maximum Range,8202.06846838298,6665.28715716948
Maximum Range,8237.87123311851,6684.6811089933
Maximum Range,8273.64411294045,6703.96087249818
Maximum Range,8309.38724928145,6723.12660577901
Maximum Range,8345.10078230779,6742.17846554422
Maximum Range,8380.78485093179,6761.11660713165
Maximum Range,8416.43959282422,6779.9411845243
Maximum Range,8452.06514442642,6798.65235036581
Maximum Range,8487.6616409623,6817.25025597584
Maximum Range,8523.2292164502,6835.73505136512
Maximum Range,8558.76800371454,6854.10688525042
Maximum Range,8594.27813439738,6872.3659050693
Maximum Range,8629.75973896977,6890.51225699465
Maximum Range,8665.21294674297,6908.54608594908
Maximum Range,8700.63788587953,6926.46753561909
Maximum Range,8736.0346834042,6944.27674846913
Maximum Range,8771.40346521474,6961.97386575541
Maximum Range,8806.7443560925,6979.5590275396
Maximum Range,8842.05747971298,6997.03237270233
Maximum Range,8877.34295865617,7014.39403895651
Maximum Range,8912.60091441674,7031.64416286055
Maximum Range,8947.83146741418,7048.78287983134
Maximum Range,8983.03473700272,7065.81032415714
Maximum Range,9018.21084148118,7082.72662901024
Maximum Range,9053.35989810267,7099.53192645956
Maximum Range,9088.48202308415,7116.22634748304
Maximum Range,9123.57733161587,7132.81002197985
Maximum Range,9158.64593787076,7149.28307878256
Maximum Range,9193.68795501354,7165.64564566906
Maximum Range,9228.70349520991,7181.89784937438
Maximum Range,9263.69266963543,7198.03981560239
Maximum Range,9298.65558848445,7214.07166903734
Maximum Range,9333.5923609788,7229.99353335526
Maximum Range,9368.50309537646,7245.80553123524
Maximum Range,9403.38789898004,7261.50778437056
Maximum Range,9438.24687814522,7277.10041347976
Maximum Range,9473.08013828907,7292.58353831745
Maximum Range,9507.8877838982,7307.95727768512
Maximum Range,9542.66991853689,7323.2217494418
Maximum Range,9577.42664485506,7338.37707051451
Maximum Range,9612.15806459619,7353.42335690874
Maximum Range,9646.86427860509,7368.36072371866
Maximum Range,9681.5453868356,7383.18928513733
Maximum Range,9716.20148835817,7397.90915446676
Maximum Range,9750.83268136738,7412.52044412779
Maximum Range,9785.43906318934,7427.02326566999
Maximum Range,9820.020730289,7441.41772978133
Maximum Range,9854.57777827739,7455.70394629782
Maximum Range,9889.1103019187,7469.882024213
Maximum Range,9923.61839513739,7483.95207168733
Maximum Range,9958.1021510251,7497.91419605754
Maximum Range,9992.56166184752,7511.76850384576
Maximum Range,10026.9970190512,7525.51510076868
Maximum Range,10061.4083132703,7539.15409174649
Maximum Range,10095.7956343329,7552.68558091185
Maximum Range,10130.1590712681,7566.10967161865
