Simulation:,Air Resistance
Trajectory,X,Y
Angle 45,8693.29800506762,6562.59677263014
Angle 45,8725.13170635842,6576.20260155764
Angle 45,8756.92132509886,6589.69158945771
Angle 45,8788.66703211909,6603.06394471335
Angle 45,8820.36899710666,6616.31987435951
Angle 45,8852.02738861339,6629.45958409416
Angle 45,8883.64237406206,6642.4832782893
Angle 45,8915.21411975323,6655.39116000181
Angle 45,8946.74279087176,6668.18343098433
Angle 45,8978.22855149346,6680.86029169602
Angle 45,9009.67156459159,6693.42194131319
Angle 45,9041.07199204328,6705.86857773993
Angle 45,9072.42999463595,6718.20039761867
Angle 45,9103.7457320736,6730.41759634058
Angle 45,9135.01936298312,6742.52036805602
Angle 45,9166.25104492045,6754.5089056848
Angle 45,9197.44093437674,6766.38340092648
Angle 45,9228.58918678444,6778.14404427052
Angle 45,9259.69595652336,6789.79102500638
Angle 45,9290.76139692656,6801.32453123361
Angle 45,9321.78566028638,6812.7447498718
Angle 45,9352.76889786019,6824.05186667049
Angle 45,9383.71125987629,6835.24606621903
Angle 45,9414.6128955396,6846.32753195636
Angle 45,9445.47395303739,6857.29644618077
Angle 45,9476.29457954492,6868.15299005951
Angle 45,9507.07492123103,6878.8973436384
Angle 45,9537.81512326372,6889.52968585142
Angle 45,9568.51532981557,6900.05019453015
Angle 45,9599.17568406927,6910.45904641318
Angle 45,9629.79632822296,6920.75641715553
Angle 45,9660.3774034956,6930.94248133789
Angle 45,9690.91905013225,6941.01741247594
Angle 45,9721.42140740935,6950.98138302949
Angle 45,9751.88461363992,6960.83456441166
Angle 45,9782.30880617868,6970.57712699793
Angle 45,9812.69412142722,6980.20924013521
Angle 45,9843.04069483904,6989.73107215079
Angle 45,9873.34866092459,6999.14279036129
Angle 45,9903.61815325623,7008.4445610815
Angle 45,9933.8493044732,7017.63654963325
Angle 45,9964.0422462865,7026.71892035416
Angle 45,9994.19710948374,7035.69183660635
Angle 45,10024.314023934,7044.55546078513
Angle 45,10054.3931185925,7053.30995432764
Angle 45,10084.4345215055,7061.9554777214
Angle 45,10114.4383598148,7070.49219051285
Angle 45,10144.4047597627,7078.92025131584
Angle 45,10174.3338466961,7087.23981782005
Angle 45,10204.2257450717,7095.45104679941
Angle 45,10234.0805784601,7103.5540941204
Angle 45,10263.8984695504,7111.54911475039
Angle 45,10293.679540155,7119.4362627659
Angle 45,10323.4239112134,7127.21569136078
Angle 45,10353.1317027973,7134.88755285437
Angle 45,10382.8030341144,7142.45199869969
Angle 45,10412.4380235132,7149.90917949147
Angle 45,10442.0367884868,7157.25924497419
Angle 45,10471.5994456778,7164.50234405012
Angle 45,10501.1261108818,7171.63862478724
Angle 45,10530.6168990523,7178.66823442719
Angle 45,10560.0719243045,7185.59131939312
Angle 45,10589.4912999193,7192.40802529755
Angle 45,10618.8751383479,7199.11849695017
Angle 45,10648.2235512156,7205.72287836558
Angle 45,10677.5366493256,7212.22131277106
Angle 45,10706.8145426637,7218.61394261419
Angle 45,10736.0573404014,7224.90090957054
Angle 45,10765.2651509009,7231.0823545513
Angle 45,10794.4380817182,7237.15841771079
Angle 45,10823.5762396072,7243.12923845405
Angle 45,10852.6797305242,7248.99495544432
Angle 45,10881.7486596309,7254.75570661051
Angle 45,10910.7831312987,7260.41162915462
Angle 45,10939.7832491126,7265.96285955915
Angle 45,10968.7491158746,7271.40953359444
Angle 45,10997.680833608,7276.75178632603
Angle 45,11026.5785035607,7281.98975212189
Angle 45,11055.442226209,7287.12356465976
Angle 45,11084.2721012616,7292.15335693427
Angle 45,11113.0682276628,7297.07926126424
Angle 45,11141.8307035967,7301.90140929974
Angle 45,11170.5596264903,7306.61993202929
Angle 45,11199.2550930175,7311.23495978689
Angle 45,11227.9171991026,7315.74662225913
Angle 45,11256.5460399236,7320.15504849218
Angle 45,11285.1417099163,7324.46036689879
Angle 45,11313.7043027774,7328.66270526529
Angle 45,11342.2339114679,7332.76219075845
Angle 45,11370.7306282173,7336.75894993247
Angle 45,11399.1945445262,7340.65310873578
Angle 45,11427.6257511705,7344.44479251789
Angle 45,11456.0243382043,7348.13412603624
Angle 45,11484.3903949636,7351.72123346293
Angle 45,11512.7240100698,7355.20623839148
Angle 45,11541.0252714328,7358.58926384358
Angle 45,11569.2942662547,7361.87043227571
Angle 45,11597.5310810329,7365.04986558588
Angle 45,11625.7358015636,7368.12768512019
Angle 45,11653.9085129451,7371.10401167947
Angle 45,11682.0492995812,7373.97896552583
