Simulation:,No Air Resistance
Trajectory,X,Y
Angle 52,26547.3228160423,15415.8636955216
Angle 52,26590.4191193151,15410.6564482741
Angle 52,26633.5154225879,15405.3512010266
Angle 52,26676.6117258607,15399.947953779
Angle 52,26719.7080291335,15394.4467065315
Angle 52,26762.8043324063,15388.847459284
Angle 52,26805.9006356791,15383.1502120365
Angle 52,26848.9969389519,15377.3549647889
Angle 52,26892.0932422247,15371.4617175414
Angle 52,26935.1895454975,15365.4704702939
Angle 52,26978.2858487703,15359.3812230463
Angle 52,27021.3821520431,15353.1939757988
Angle 52,27064.4784553159,15346.9087285513
Angle 52,27107.5747585886,15340.5254813037
Angle 52,27150.6710618614,15334.0442340562
Angle 52,27193.7673651342,15327.4649868087
Angle 52,27236.863668407,15320.7877395612
Angle 52,27279.9599716798,15314.0124923136
Angle 52,27323.0562749526,15307.1392450661
Angle 52,27366.1525782254,15300.1679978186
Angle 52,27409.2488814982,15293.098750571
Angle 52,27452.345184771,15285.9315033235
Angle 52,27495.4414880438,15278.666256076
Angle 52,27538.5377913166,15271.3030088284
Angle 52,27581.6340945894,15263.8417615809
Angle 52,27624.7303978622,15256.2825143334
Angle 52,27667.826701135,15248.6252670859
Angle 52,27710.9230044078,15240.8700198383
Angle 52,27754.0193076806,15233.0167725908
Angle 52,27797.1156109534,15225.0655253433
Angle 52,27840.2119142262,15217.0162780957
Angle 52,27883.308217499,15208.8690308482
Angle 52,27926.4045207718,15200.6237836007
Angle 52,27969.5008240446,15192.2805363531
Angle 52,28012.5971273174,15183.8392891056
Angle 52,28055.6934305902,15175.3000418581
Angle 52,28098.789733863,15166.6627946106
Angle 52,28141.8860371357,15157.927547363
Angle 52,28184.9823404085,15149.0943001155
Angle 52,28228.0786436813,15140.163052868
Angle 52,28271.1749469541,15131.1338056204
Angle 52,28314.2712502269,15122.0065583729
Angle 52,28357.3675534997,15112.7813111254
Angle 52,28400.4638567725,15103.4580638778
Angle 52,28443.5601600453,15094.0368166303
Angle 52,28486.6564633181,15084.5175693828
Angle 52,28529.7527665909,15074.9003221353
Angle 52,28572.8490698637,15065.1850748877
Angle 52,28615.9453731365,15055.3718276402
Angle 52,28659.0416764093,15045.4605803927
Angle 52,28702.1379796821,15035.4513331451
Angle 52,28745.2342829549,15025.3440858976
Angle 52,28788.3305862277,15015.1388386501
Angle 52,28831.4268895005,15004.8355914025
Angle 52,28874.5231927733,14994.434344155
Angle 52,28917.6194960461,14983.9350969075
Angle 52,28960.7157993189,14973.33784966
Angle 52,29003.8121025917,14962.6426024124
Angle 52,29046.9084058645,14951.8493551649
Angle 52,29090.0047091373,14940.9581079174
Angle 52,29133.1010124101,14929.9688606698
Angle 52,29176.1973156829,14918.8816134223
Angle 52,29219.2936189556,14907.6963661748
Angle 52,29262.3899222284,14896.4131189273
Angle 52,29305.4862255012,14885.0318716797
Angle 52,29348.582528774,14873.5526244322
Angle 52,29391.6788320468,14861.9753771847
Angle 52,29434.7751353196,14850.3001299371
Angle 52,29477.8714385924,14838.5268826896
Angle 52,29520.9677418652,14826.6556354421
Angle 52,29564.064045138,14814.6863881945
Angle 52,29607.1603484108,14802.619140947
Angle 52,29650.2566516836,14790.4538936995
Angle 52,29693.3529549564,14778.190646452
Angle 52,29736.4492582292,14765.8293992044
Angle 52,29779.545561502,14753.3701519569
Angle 52,29822.6418647748,14740.8129047094
Angle 52,29865.7381680476,14728.1576574618
Angle 52,29908.8344713204,14715.4044102143
Angle 52,29951.9307745932,14702.5531629668
Angle 52,29995.027077866,14689.6039157192
Angle 52,30038.1233811388,14676.5566684717
Angle 52,30081.2196844116,14663.4114212242
Angle 52,30124.3159876844,14650.1681739767
Angle 52,30167.4122909572,14636.8269267291
Angle 52,30210.50859423,14623.3876794816
Angle 52,30253.6048975027,14609.8504322341
Angle 52,30296.7012007755,14596.2151849865
Angle 52,30339.7975040483,14582.481937739
Angle 52,30382.8938073211,14568.6506904915
Angle 52,30425.9901105939,14554.7214432439
Angle 52,30469.0864138667,14540.6941959964
Angle 52,30512.1827171395,14526.5689487489
Angle 52,30555.2790204123,14512.3457015014
Angle 52,30598.3753236851,14498.0244542538
Angle 52,30641.4716269579,14483.6052070063
Angle 52,30684.5679302307,14469.0879597588
Angle 52,30727.6642335035,14454.4727125112
Angle 52,30770.7605367763,14439.7594652637
Angle 52,30813.8568400491,14424.9482180162
Angle 52,30856.9531433219,14410.0389707686
Angle 52,30900.0494465947,14395.0317235211
Angle 52,30943.1457498675,14379.9264762736
Angle 52,30986.2420531403,14364.7232290261
Angle 52,31029.3383564131,14349.4219817785
Angle 52,31072.4346596859,14334.022734531
Angle 52,31115.5309629587,14318.5254872835
Angle 52,31158.6272662315,14302.9302400359
Angle 52,31201.7235695043,14287.2369927884
Angle 52,31244.8198727771,14271.4457455409
Angle 52,31287.9161760499,14255.5564982934
Angle 52,31331.0124793226,14239.5692510458
Angle 52,31374.1087825954,14223.4840037983
Angle 52,31417.2050858682,14207.3007565508
Angle 52,31460.301389141,14191.0195093032
Angle 52,31503.3976924138,14174.6402620557
Angle 52,31546.4939956866,14158.1630148082
Angle 52,31589.5902989594,14141.5877675606
Angle 52,31632.6866022322,14124.9145203131
Angle 52,31675.782905505,14108.1432730656
Angle 52,31718.8792087778,14091.274025818
Angle 52,31761.9755120506,14074.3067785705
Angle 52,31805.0718153234,14057.241531323
Angle 52,31848.1681185962,14040.0782840755
Angle 52,31891.264421869,14022.8170368279
Angle 52,31934.3607251418,14005.4577895804
Angle 52,31977.4570284146,13988.0005423329
Angle 52,32020.5533316874,13970.4452950853
Angle 52,32063.6496349602,13952.7920478378
Angle 52,32106.745938233,13935.0408005903
Angle 52,32149.8422415058,13917.1915533427
Angle 52,32192.9385447786,13899.2443060952
Angle 52,32236.0348480514,13881.1990588477
Angle 52,32279.1311513242,13863.0558116002
Angle 52,32322.227454597,13844.8145643526
Angle 52,32365.3237578697,13826.4753171051
Angle 52,32408.4200611425,13808.0380698576
Angle 52,32451.5163644153,13789.50282261
Angle 52,32494.6126676881,13770.8695753625
Angle 52,32537.7089709609,13752.138328115
Angle 52,32580.8052742337,13733.3090808674
Angle 52,32623.9015775065,13714.3818336199
Angle 52,32666.9978807793,13695.3565863724
Angle 52,32710.0941840521,13676.2333391249
Angle 52,32753.1904873249,13657.0120918773
Angle 52,32796.2867905977,13637.6928446298
Angle 52,32839.3830938705,13618.2755973823
Angle 52,32882.4793971433,13598.7603501347
Angle 52,32925.5757004161,13579.1471028872
Angle 52,32968.6720036889,13559.4358556397
Angle 52,33011.7683069617,13539.6266083922
Angle 52,33054.8646102345,13519.7193611446
Angle 52,33097.9609135073,13499.7141138971
Angle 52,33141.0572167801,13479.6108666496
Angle 52,33184.1535200529,13459.409619402
Angle 52,33227.2498233257,13439.1103721545
Angle 52,33270.3461265985,13418.713124907
Angle 52,33313.4424298713,13398.2178776594
Angle 52,33356.5387331441,13377.6246304119
Angle 52,33399.6350364169,13356.9333831644
Angle 52,33442.7313396897,13336.1441359169
Angle 52,33485.8276429624,13315.2568886693
Angle 52,33528.9239462352,13294.2716414218
Angle 52,33572.020249508,13273.1883941743
Angle 52,33615.1165527808,13252.0071469267
Angle 52,33658.2128560536,13230.7278996792
Angle 52,33701.3091593264,13209.3506524317
Angle 52,33744.4054625992,13187.8754051841
Angle 52,33787.501765872,13166.3021579366
Angle 52,33830.5980691448,13144.6309106891
Angle 52,33873.6943724176,13122.8616634416
Angle 52,33916.7906756904,13100.994416194
Angle 52,33959.8869789632,13079.0291689465
Angle 52,34002.983282236,13056.965921699
Angle 52,34046.0795855088,13034.8046744514
Angle 52,34089.1758887816,13012.5454272039
Angle 52,34132.2721920544,12990.1881799564
Angle 52,34175.3684953272,12967.7329327088
Angle 52,34218.4647986,12945.1796854613
Angle 52,34261.5611018728,12922.5284382138
Angle 52,34304.6574051456,12899.7791909663
Angle 52,34347.7537084184,12876.9319437187
Angle 52,34390.8500116912,12853.9866964712
Angle 52,34433.946314964,12830.9434492237
Angle 52,34477.0426182368,12807.8022019761
Angle 52,34520.1389215095,12784.5629547286
Angle 52,34563.2352247823,12761.2257074811
Angle 52,34606.3315280551,12737.7904602335
Angle 52,34649.4278313279,12714.257212986
Angle 52,34692.5241346007,12690.6259657385
Angle 52,34735.6204378735,12666.896718491
Angle 52,34778.7167411463,12643.0694712434
Angle 52,34821.8130444191,12619.1442239959
Angle 52,34864.9093476919,12595.1209767484
Angle 52,34908.0056509647,12570.9997295008
Angle 52,34951.1019542375,12546.7804822533
Angle 52,34994.1982575103,12522.4632350058
Angle 52,35037.2945607831,12498.0479877583
Angle 52,35080.3908640559,12473.5347405107
Angle 52,35123.4871673287,12448.9234932632
Angle 52,35166.5834706015,12424.2142460157
Angle 52,35209.6797738743,12399.4069987681
Angle 52,35252.7760771471,12374.5017515206
Angle 52,35295.8723804199,12349.4985042731
Angle 52,35338.9686836927,12324.3972570255
Angle 52,35382.0649869655,12299.198009778
Angle 52,35425.1612902383,12273.9007625305
Angle 52,35468.2575935111,12248.505515283
Angle 52,35511.3538967839,12223.0122680354
Angle 52,35554.4502000567,12197.4210207879
Angle 52,35597.5465033294,12171.7317735404
Angle 52,35640.6428066022,12145.9445262928
Angle 52,35683.739109875,12120.0592790453
Angle 52,35726.8354131478,12094.0760317978
Angle 52,35769.9317164206,12067.9947845502
Angle 52,35813.0280196934,12041.8155373027
Angle 52,35856.1243229662,12015.5382900552
Angle 52,35899.220626239,11989.1630428077
Angle 52,35942.3169295118,11962.6897955601
Angle 52,35985.4132327846,11936.1185483126
Angle 52,36028.5095360574,11909.4493010651
Angle 52,36071.6058393302,11882.6820538175
Angle 52,36114.702142603,11855.81680657
Angle 52,36157.7984458758,11828.8535593225
Angle 52,36200.8947491486,11801.7923120749
Angle 52,36243.9910524214,11774.6330648274
Angle 52,36287.0873556942,11747.3758175799
Angle 52,36330.183658967,11720.0205703324
Angle 52,36373.2799622398,11692.5673230848
Angle 52,36416.3762655126,11665.0160758373
Angle 52,36459.4725687854,11637.3668285898
Angle 52,36502.5688720582,11609.6195813422
Angle 52,36545.665175331,11581.7743340947
Angle 52,36588.7614786038,11553.8310868472
Angle 52,36631.8577818765,11525.7898395997
Angle 52,36674.9540851493,11497.6505923521
Angle 52,36718.0503884221,11469.4133451046
Angle 52,36761.1466916949,11441.0780978571
Angle 52,36804.2429949677,11412.6448506095
Angle 52,36847.3392982405,11384.113603362
Angle 52,36890.4356015133,11355.4843561145
Angle 52,36933.5319047861,11326.7571088669
Angle 52,36976.6282080589,11297.9318616194
Angle 52,37019.7245113317,11269.0086143719
Angle 52,37062.8208146045,11239.9873671244
Angle 52,37105.9171178773,11210.8681198768
Angle 52,37149.0134211501,11181.6508726293
Angle 52,37192.1097244229,11152.3356253818
Angle 52,37235.2060276957,11122.9223781342
Angle 52,37278.3023309685,11093.4111308867
Angle 52,37321.3986342413,11063.8018836392
Angle 52,37364.4949375141,11034.0946363916
Angle 52,37407.5912407869,11004.2893891441
Angle 52,37450.6875440597,10974.3861418966
Angle 52,37493.7838473325,10944.384894649
Angle 52,37536.8801506053,10914.2856474015
Angle 52,37579.9764538781,10884.088400154
Angle 52,37623.0727571509,10853.7931529065
Angle 52,37666.1690604237,10823.3999056589
Angle 52,37709.2653636964,10792.9086584114
Angle 52,37752.3616669692,10762.3194111639
Angle 52,37795.457970242,10731.6321639163
Angle 52,37838.5542735148,10700.8469166688
Angle 52,37881.6505767876,10669.9636694213
Angle 52,37924.7468800604,10638.9824221738
Angle 52,37967.8431833332,10607.9031749262
Angle 52,38010.939486606,10576.7259276787
Angle 52,38054.0357898788,10545.4506804312
Angle 52,38097.1320931516,10514.0774331836
Angle 52,38140.2283964244,10482.6061859361
Angle 52,38183.3246996972,10451.0369386886
Angle 52,38226.42100297,10419.369691441
Angle 52,38269.5173062428,10387.6044441935
Angle 52,38312.6136095156,10355.741196946
Angle 52,38355.7099127884,10323.7799496985
Angle 52,38398.8062160612,10291.7207024509
Angle 52,38441.902519334,10259.5634552034
Angle 52,38484.9988226068,10227.3082079559
Angle 52,38528.0951258796,10194.9549607083
Angle 52,38571.1914291524,10162.5037134608
Angle 52,38614.2877324252,10129.9544662133
Angle 52,38657.384035698,10097.3072189657
Angle 52,38700.4803389708,10064.5619717182
Angle 52,38743.5766422435,10031.7187244707
Angle 52,38786.6729455163,9998.77747722316
Angle 52,38829.7692487891,9965.73822997563
Angle 52,38872.8655520619,9932.6009827281
Angle 52,38915.9618553347,9899.36573548057
Angle 52,38959.0581586075,9866.03248823304
Angle 52,39002.1544618803,9832.6012409855
Angle 52,39045.2507651531,9799.07199373797
Angle 52,39088.3470684259,9765.44474649044
Angle 52,39131.4433716987,9731.71949924291
Angle 52,39174.5396749715,9697.89625199538
Angle 52,39217.6359782443,9663.97500474785
Angle 52,39260.7322815171,9629.95575750032
Angle 52,39303.8285847899,9595.83851025279
Angle 52,39346.9248880627,9561.62326300526
Angle 52,39390.0211913355,9527.31001575773
Angle 52,39433.1174946083,9492.8987685102
Angle 52,39476.2137978811,9458.38952126267
Angle 52,39519.3101011539,9423.78227401514
Angle 52,39562.4064044267,9389.07702676761
Angle 52,39605.5027076995,9354.27377952008
Angle 52,39648.5990109723,9319.37253227256
Angle 52,39691.6953142451,9284.37328502503
Angle 52,39734.7916175179,9249.2760377775
Angle 52,39777.8879207907,9214.08079052997
Angle 52,39820.9842240634,9178.78754328244
Angle 52,39864.0805273362,9143.39629603491
Angle 52,39907.176830609,9107.90704878738
Angle 52,39950.2731338818,9072.31980153985
Angle 52,39993.3694371546,9036.63455429232
Angle 52,40036.4657404274,9000.85130704479
Angle 52,40079.5620437002,8964.97005979726
Angle 52,40122.658346973,8928.99081254973
Angle 52,40165.7546502458,8892.9135653022
Angle 52,40208.8509535186,8856.73831805467
Angle 52,40251.9472567914,8820.46507080714
Angle 52,40295.0435600642,8784.09382355961
Angle 52,40338.139863337,8747.62457631208
Angle 52,40381.2361666098,8711.05732906455
Angle 52,40424.3324698826,8674.39208181702
Angle 52,40467.4287731554,8637.62883456949
Angle 52,40510.5250764282,8600.76758732196
Angle 52,40553.621379701,8563.80834007443
Angle 52,40596.7176829738,8526.7510928269
Angle 52,40639.8139862466,8489.59584557937
Angle 52,40682.9102895194,8452.34259833184
Angle 52,40726.0065927922,8414.99135108431
Angle 52,40769.102896065,8377.54210383678
Angle 52,40812.1991993378,8339.99485658925
Angle 52,40855.2955026105,8302.34960934172
Angle 52,40898.3918058833,8264.60636209419
Angle 52,40941.4881091561,8226.76511484666
Angle 52,40984.5844124289,8188.82586759913
Angle 52,41027.6807157017,8150.7886203516
Angle 52,41070.7770189745,8112.65337310407
Angle 52,41113.8733222473,8074.42012585654
Angle 52,41156.9696255201,8036.08887860901
Angle 52,41200.0659287929,7997.65963136148
Angle 52,41243.1622320657,7959.13238411395
Angle 52,41286.2585353385,7920.50713686642
Angle 52,41329.3548386113,7881.78388961889
Angle 52,41372.4511418841,7842.96264237136
Angle 52,41415.5474451569,7804.04339512383
Angle 52,41458.6437484297,7765.0261478763
Angle 52,41501.7400517025,7725.91090062877
Angle 52,41544.8363549753,7686.69765338124
Angle 52,41587.9326582481,7647.38640613371
Angle 52,41631.0289615209,7607.97715888618
Angle 52,41674.1252647937,7568.46991163865
Angle 52,41717.2215680665,7528.86466439112
Angle 52,41760.3178713393,7489.16141714359
Angle 52,41803.4141746121,7449.36016989606
Angle 52,41846.5104778849,7409.46092264853
Angle 52,41889.6067811577,7369.463675401
Angle 52,41932.7030844304,7329.36842815347
Angle 52,41975.7993877032,7289.17518090594
Angle 52,42018.895690976,7248.88393365841
Angle 52,42061.9919942488,7208.49468641088
Angle 52,42105.0882975216,7168.00743916335
Angle 52,42148.1846007944,7127.42219191582
Angle 52,42191.2809040672,7086.73894466829
Angle 52,42234.37720734,7045.95769742076
Angle 52,42277.4735106128,7005.07845017323
Angle 52,42320.5698138856,6964.1012029257
Angle 52,42363.6661171584,6923.02595567817
Angle 52,42406.7624204312,6881.85270843064
Angle 52,42449.858723704,6840.58146118311
Angle 52,42492.9550269768,6799.21221393558
Angle 52,42536.0513302496,6757.74496668805
Angle 52,42579.1476335224,6716.17971944052
Angle 52,42622.2439367952,6674.51647219299
Angle 52,42665.340240068,6632.75522494545
Angle 52,42708.4365433408,6590.89597769792
Angle 52,42751.5328466136,6548.93873045039
Angle 52,42794.6291498864,6506.88348320286
Angle 52,42837.7254531592,6464.73023595533
Angle 52,42880.821756432,6422.4789887078
Angle 52,42923.9180597048,6380.12974146027
Angle 52,42967.0143629775,6337.68249421274
Angle 52,43010.1106662503,6295.13724696521
Angle 52,43053.2069695231,6252.49399971768
Angle 52,43096.3032727959,6209.75275247015
Angle 52,43139.3995760687,6166.91350522262
Angle 52,43182.4958793415,6123.9762579751
Angle 52,43225.5921826143,6080.94101072757
Angle 52,43268.6884858871,6037.80776348004
Angle 52,43311.7847891599,5994.57651623251
Angle 52,43354.8810924327,5951.24726898497
Angle 52,43397.9773957055,5907.82002173744
Angle 52,43441.0736989783,5864.29477448991
Angle 52,43484.1700022511,5820.67152724238
Angle 52,43527.2663055239,5776.95027999485
Angle 52,43570.3626087967,5733.13103274732
Angle 52,43613.4589120695,5689.21378549979
Angle 52,43656.5552153423,5645.19853825226
Angle 52,43699.6515186151,5601.08529100473
Angle 52,43742.7478218879,5556.8740437572
Angle 52,43785.8441251607,5512.56479650967
Angle 52,43828.9404284335,5468.15754926214
Angle 52,43872.0367317063,5423.65230201461
Angle 52,43915.1330349791,5379.04905476708
Angle 52,43958.2293382519,5334.34780751955
Angle 52,44001.3256415247,5289.54856027202
Angle 52,44044.4219447974,5244.65131302449
Angle 52,44087.5182480702,5199.65606577696
Angle 52,44130.614551343,5154.56281852943
Angle 52,44173.7108546158,5109.3715712819
Angle 52,44216.8071578886,5064.08232403437
Angle 52,44259.9034611614,5018.69507678684
Angle 52,44302.9997644342,4973.20982953931
Angle 52,44346.096067707,4927.62658229178
Angle 52,44389.1923709798,4881.94533504425
Angle 52,44432.2886742526,4836.16608779672
Angle 52,44475.3849775254,4790.28884054919
Angle 52,44518.4812807982,4744.31359330166
Angle 52,44561.577584071,4698.24034605413
Angle 52,44604.6738873438,4652.0690988066
Angle 52,44647.7701906166,4605.79985155907
Angle 52,44690.8664938894,4559.43260431154
Angle 52,44733.9627971622,4512.96735706401
Angle 52,44777.059100435,4466.40410981648
Angle 52,44820.1554037078,4419.74286256895
Angle 52,44863.2517069806,4372.98361532142
Angle 52,44906.3480102534,4326.12636807389
Angle 52,44949.4443135262,4279.17112082636
Angle 52,44992.540616799,4232.11787357883
Angle 52,45035.6369200718,4184.9666263313
Angle 52,45078.7332233445,4137.71737908377
Angle 52,45121.8295266173,4090.37013183624
Angle 52,45164.9258298901,4042.92488458871
Angle 52,45208.0221331629,3995.38163734118
Angle 52,45251.1184364357,3947.74039009365
Angle 52,45294.2147397085,3900.00114284612
Angle 52,45337.3110429813,3852.16389559859
Angle 52,45380.4073462541,3804.22864835106
Angle 52,45423.5036495269,3756.19540110353
Angle 52,45466.5999527997,3708.064153856
Angle 52,45509.6962560725,3659.83490660847
Angle 52,45552.7925593453,3611.50765936094
Angle 52,45595.8888626181,3563.08241211341
Angle 52,45638.9851658909,3514.55916486588
Angle 52,45682.0814691637,3465.93791761835
Angle 52,45725.1777724365,3417.21867037082
Angle 52,45768.2740757093,3368.40142312329
Angle 52,45811.3703789821,3319.48617587576
Angle 52,45854.4666822549,3270.47292862823
Angle 52,45897.5629855277,3221.3616813807
Angle 52,45940.6592888005,3172.15243413317
Angle 52,45983.7555920733,3122.84518688564
Angle 52,46026.8518953461,3073.43993963811
Angle 52,46069.9481986189,3023.93669239058
Angle 52,46113.0445018917,2974.33544514305
Angle 52,46156.1408051644,2924.63619789552
Angle 52,46199.2371084372,2874.83895064798
Angle 52,46242.33341171,2824.94370340045
Angle 52,46285.4297149828,2774.95045615292
Angle 52,46328.5260182556,2724.85920890539
Angle 52,46371.6223215284,2674.66996165786
Angle 52,46414.7186248012,2624.38271441033
Angle 52,46457.814928074,2573.9974671628
Angle 52,46500.9112313468,2523.51421991527
Angle 52,46544.0075346196,2472.93297266774
Angle 52,46587.1038378924,2422.25372542021
Angle 52,46630.2001411652,2371.47647817268
Angle 52,46673.296444438,2320.60123092515
Angle 52,46716.3927477108,2269.62798367762
Angle 52,46759.4890509836,2218.55673643009
Angle 52,46802.5853542564,2167.38748918256
Angle 52,46845.6816575292,2116.12024193503
Angle 52,46888.777960802,2064.7549946875
Angle 52,46931.8742640748,2013.29174743997
Angle 52,46974.9705673476,1961.73050019244
Angle 52,47018.0668706204,1910.07125294491
Angle 52,47061.1631738932,1858.31400569738
Angle 52,47104.259477166,1806.45875844985
Angle 52,47147.3557804388,1754.50551120232
Angle 52,47190.4520837115,1702.45426395479
Angle 52,47233.5483869843,1650.30501670726
Angle 52,47276.6446902571,1598.05776945973
Angle 52,47319.7409935299,1545.7125222122
Angle 52,47362.8372968027,1493.26927496467
Angle 52,47405.9336000755,1440.72802771714
Angle 52,47449.0299033483,1388.08878046961
Angle 52,47492.1262066211,1335.35153322208
Angle 52,47535.2225098939,1282.51628597455
Angle 52,47578.3188131667,1229.58303872702
Angle 52,47621.4151164395,1176.55179147949
Angle 52,47664.5114197123,1123.42254423196
Angle 52,47707.6077229851,1070.19529698443
Angle 52,47750.7040262579,1016.8700497369
Angle 52,47793.8003295307,963.446802489366
Angle 52,47836.8966328035,909.925555241836
Angle 52,47879.9929360763,856.306307994306
Angle 52,47923.0892393491,802.589060746776
Angle 52,47966.1855426219,748.773813499245
Angle 52,48009.2818458947,694.860566251715
Angle 52,48052.3781491675,640.849319004185
Angle 52,48095.4744524403,586.740071756654
Angle 52,48138.5707557131,532.532824509124
Angle 52,48181.6670589859,478.227577261594
Angle 52,48224.7633622587,423.824330014063
Angle 52,48267.8596655314,369.323082766533
Angle 52,48310.9559688042,314.723835519003
Angle 52,48354.052272077,260.026588271473
Angle 52,48397.1485753498,205.231341023942
Angle 52,48440.2448786226,150.338093776412
Angle 52,48483.3411818954,95.3468465288817
Angle 52,48526.4374851682,40.2575992813513
Angle 52,48557.8750689252,0
Angle 53,0,0
Angle 53,42.1270516206434,55.9044857033105
Angle 53,84.2541032412868,111.710971406621
Angle 53,126.38115486193,167.419457109932
Angle 53,168.508206482574,223.029942813242
Angle 53,210.635258103217,278.542428516552
Angle 53,252.76230972386,333.956914219863
Angle 53,294.889361344504,389.273399923173
Angle 53,337.016412965147,444.491885626484
Angle 53,379.14346458579,499.612371329794
Angle 53,421.270516206434,554.634857033105
Angle 53,463.397567827077,609.559342736415
Angle 53,505.524619447721,664.385828439726
Angle 53,547.651671068364,719.114314143036
Angle 53,589.778722689008,773.744799846347
Angle 53,631.905774309651,828.277285549657
Angle 53,674.032825930294,882.711771252968
Angle 53,716.159877550938,937.048256956278
Angle 53,758.286929171581,991.286742659589
Angle 53,800.413980792225,1045.4272283629
Angle 53,842.541032412868,1099.46971406621
Angle 53,884.668084033512,1153.41419976952
Angle 53,926.795135654155,1207.26068547283
Angle 53,968.922187274798,1261.00917117614
Angle 53,1011.04923889544,1314.65965687945
Angle 53,1053.17629051609,1368.21214258276
Angle 53,1095.30334213673,1421.66662828607
Angle 53,1137.43039375737,1475.02311398938
Angle 53,1179.55744537802,1528.28159969269
Angle 53,1221.68449699866,1581.442085396
Angle 53,1263.8115486193,1634.50457109931
Angle 53,1305.93860023995,1687.46905680262
Angle 53,1348.06565186059,1740.33554250594
Angle 53,1390.19270348123,1793.10402820925
Angle 53,1432.31975510188,1845.77451391256
Angle 53,1474.44680672252,1898.34699961587
Angle 53,1516.57385834316,1950.82148531918
Angle 53,1558.70090996381,2003.19797102249
Angle 53,1600.82796158445,2055.4764567258
Angle 53,1642.95501320509,2107.65694242911
Angle 53,1685.08206482574,2159.73942813242
Angle 53,1727.20911644638,2211.72391383573
Angle 53,1769.33616806702,2263.61039953904
Angle 53,1811.46321968767,2315.39888524235
Angle 53,1853.59027130831,2367.08937094566
Angle 53,1895.71732292895,2418.68185664897
Angle 53,1937.8443745496,2470.17634235228
Angle 53,1979.97142617024,2521.57282805559
Angle 53,2022.09847779088,2572.8713137589
Angle 53,2064.22552941153,2624.07179946221
Angle 53,2106.35258103217,2675.17428516552
Angle 53,2148.47963265281,2726.17877086883
Angle 53,2190.60668427346,2777.08525657214
Angle 53,2232.7337358941,2827.89374227545
Angle 53,2274.86078751474,2878.60422797876
Angle 53,2316.98783913539,2929.21671368207
Angle 53,2359.11489075603,2979.73119938539
Angle 53,2401.24194237667,3030.1476850887
Angle 53,2443.36899399732,3080.46617079201
Angle 53,2485.49604561796,3130.68665649532
Angle 53,2527.6230972386,3180.80914219863
Angle 53,2569.75014885925,3230.83362790194
Angle 53,2611.87720047989,3280.76011360525
Angle 53,2654.00425210053,3330.58859930856
Angle 53,2696.13130372118,3380.31908501187
Angle 53,2738.25835534182,3429.95157071518
Angle 53,2780.38540696246,3479.48605641849
Angle 53,2822.51245858311,3528.9225421218
Angle 53,2864.63951020375,3578.26102782511
Angle 53,2906.76656182439,3627.50151352842
Angle 53,2948.89361344504,3676.64399923173
Angle 53,2991.02066506568,3725.68848493504
Angle 53,3033.14771668632,3774.63497063835
Angle 53,3075.27476830697,3823.48345634166
Angle 53,3117.40181992761,3872.23394204497
Angle 53,3159.52887154825,3920.88642774828
Angle 53,3201.65592316889,3969.44091345159
Angle 53,3243.78297478954,4017.8973991549
Angle 53,3285.91002641018,4066.25588485821
Angle 53,3328.03707803082,4114.51637056152
Angle 53,3370.16412965147,4162.67885626483
Angle 53,3412.29118127211,4210.74334196814
Angle 53,3454.41823289275,4258.70982767146
Angle 53,3496.5452845134,4306.57831337477
Angle 53,3538.67233613404,4354.34879907808
Angle 53,3580.79938775468,4402.02128478139
Angle 53,3622.92643937533,4449.5957704847
Angle 53,3665.05349099597,4497.07225618801
Angle 53,3707.18054261661,4544.45074189132
Angle 53,3749.30759423726,4591.73122759463
Angle 53,3791.4346458579,4638.91371329794
Angle 53,3833.56169747854,4685.99819900125
Angle 53,3875.68874909919,4732.98468470456
Angle 53,3917.81580071983,4779.87317040787
Angle 53,3959.94285234047,4826.66365611118
Angle 53,4002.06990396112,4873.35614181449
Angle 53,4044.19695558176,4919.9506275178
Angle 53,4086.3240072024,4966.44711322111
Angle 53,4128.45105882305,5012.84559892442
Angle 53,4170.57811044369,5059.14608462773
Angle 53,4212.70516206433,5105.34857033104
Angle 53,4254.83221368498,5151.45305603435
Angle 53,4296.95926530562,5197.45954173766
Angle 53,4339.08631692626,5243.36802744097
Angle 53,4381.21336854691,5289.17851314428
Angle 53,4423.34042016755,5334.89099884759
Angle 53,4465.46747178819,5380.5054845509
Angle 53,4507.59452340883,5426.02197025421
Angle 53,4549.72157502948,5471.44045595753
Angle 53,4591.84862665012,5516.76094166084
Angle 53,4633.97567827076,5561.98342736415
Angle 53,4676.10272989141,5607.10791306746
Angle 53,4718.22978151205,5652.13439877077
Angle 53,4760.35683313269,5697.06288447408
Angle 53,4802.48388475334,5741.89337017739
Angle 53,4844.61093637398,5786.6258558807
Angle 53,4886.73798799462,5831.26034158401
Angle 53,4928.86503961527,5875.79682728732
Angle 53,4970.99209123591,5920.23531299063
Angle 53,5013.11914285655,5964.57579869394
Angle 53,5055.2461944772,6008.81828439725
Angle 53,5097.37324609784,6052.96277010056
Angle 53,5139.50029771848,6097.00925580387
Angle 53,5181.62734933913,6140.95774150718
Angle 53,5223.75440095977,6184.80822721049
Angle 53,5265.88145258041,6228.5607129138
Angle 53,5308.00850420106,6272.21519861711
Angle 53,5350.1355558217,6315.77168432042
Angle 53,5392.26260744234,6359.23017002373
Angle 53,5434.38965906299,6402.59065572704
