Time,Velocity
0,4
0.1,4.04072349821656
0.2,4.07991269357942
0.3,4.11765162612848
0.4,4.15401756565553
0.5,4.18908175190384
0.6,4.22291003339614
0.7,4.25556342139433
0.8,4.28709857240641
0.9,4.31756821021668
1,4.34702149647451
1.1,4.37550435732158
1.2,4.40305977228391
1.3,4.42972803063748
1.4,4.45554695962624
1.5,4.48055212823056
1.6,4.50477702962233
1.7,4.52825324497796
1.8,4.55101059093307
1.9,4.57307725263859
2,4.59447990410623
2.1,4.61524381730197
2.2,4.63539296125193
2.3,4.65495009226046
2.4,4.67393683619945
2.5,4.69237376370795
2.6,4.71028045903795
2.7,4.72767558319331
2.8,4.74457693193253
2.9,4.76100148913937
3,4.77696547600794
3.1,4.79248439643882
3.2,4.80757307899884
3.3,4.8222457157591
3.4,4.83651589829214
3.5,4.85039665107981
3.6,4.86390046255728
3.7,4.8770393139958
3.8,4.88982470640666
3.9,4.90226768563065
4,4.91437886576143
4.1,4.92616845103718
4.2,4.93764625632202
4.3,4.94882172628761
4.4,4.9597039533951
4.5,4.97030169476868
4.6,4.9806233880438
4.7,4.99067716626575
4.8,5.000470871908
4.9,5.0100120700735
5,5.01930806093689
5.1,5.02836589148095
5.2,5.03719236657586
5.3,5.0457940594463
5.4,5.05417732156748
5.5,5.06234829202818
5.6,5.07031290639584
5.7,5.0780769051159
5.8,5.08564584147532
5.9,5.09302508915791
5.99999999999999,5.10021984941691
6.09999999999999,5.10723515788863
6.19999999999999,5.11407589106892
6.29999999999999,5.12074677247303
6.39999999999999,5.12725237849757
6.49999999999999,5.13359714400235
6.59999999999999,5.13978536762832
6.69999999999999,5.14582121686687
6.79999999999999,5.15170873289482
6.89999999999999,5.15745183518809
6.99999999999999,5.16305432592667
7.09999999999999,5.16851989420223
7.19999999999999,5.17385212003934
7.29999999999999,5.17905447824021
7.39999999999999,5.18413034206251
7.49999999999999,5.18908298673913
7.59999999999999,5.19391559284811
7.69999999999999,5.19863124954053
7.79999999999999,5.20323295763375
7.89999999999999,5.20772363257667
7.99999999999999,5.21210610729371
8.09999999999999,5.21638313491333
8.19999999999999,5.22055739138692
8.29999999999999,5.22463147800341
8.39999999999999,5.22860792380464
8.49999999999999,5.23248918790625
8.59999999999999,5.2362776617286
8.69999999999999,5.23997567114194
8.79999999999998,5.24358547852988
8.89999999999998,5.24710928477486
8.99999999999998,5.25054923116928
9.09999999999998,5.25390740125559
9.19999999999998,5.25718582259862
9.29999999999998,5.2603864684931
9.39999999999998,5.26351125960926
9.49999999999998,5.26656206557923
9.59999999999998,5.26954070652689
9.69999999999998,5.27244895454337
9.79999999999998,5.27528853511084
9.89999999999998,5.27806112847656
9.99999999999998,5.2807683709793
10.1,5.28341185633021
10.2,5.28599313684997
10.3,5.28851372466395
10.4,5.29097509285722
10.5,5.29337867659091
10.6,5.2957258741815
10.7,5.29801804814453
10.8,5.30025652620416
10.9,5.30244260226982
11,5.30457753738127
11.1,5.3066625606234
11.2,5.30869887001166
11.3,5.31068763334955
11.4,5.31262998905894
11.5,5.31452704698443
11.6,5.31637988917263
11.7,5.31818957062724
11.8,5.31995712004097
11.9,5.3216835405049
12,5.32336981019636
12.1,5.32501688304587
12.2,5.32662568938403
12.3,5.32819713656898
12.4,5.32973210959524
12.5,5.33123147168431
12.6,5.33269606485804
12.7,5.334126710495
12.8,5.33552420987067
12.9,5.33688934468188
13,5.3382228775561
