Time,Velocity
0,4
0.1,4.13823714285714
0.2,4.27137732027807
0.3,4.3998900428836
0.4,4.52417349771988
0.5,4.64456894786179
0.6,4.76137158865668
0.7,4.87483887322381
0.8,4.98519699414961
0.9,5.09264599796769
1,5.19736386973738
1.1,5.29950983076121
1.2,5.39922702739283
1.3,5.49664474313943
1.4,5.59188023358425
1.5,5.68504025996529
1.6,5.77622237984018
1.7,5.86551604031816
1.8,5.95300350959658
1.9,6.03876067512959
2,6.12285773106684
2.1,6.20535977318998
2.2,6.28632731612873
2.3,6.36581674492258
2.4,6.44388071083959
2.5,6.52056847964095
2.6,6.59592623909441
2.7,6.66999737141764
2.8,6.74282269541933
2.9,6.81444068235748
3,6.884887648919
3.1,6.95419793021524
3.2,7.02240403526477
3.3,7.08953678708147
3.4,7.15562544918951
3.5,7.22069784013736
3.6,7.28478043737239
3.7,7.34789847165841
3.8,7.41007601306637
3.9,7.47133604943861
4,7.53170055811513
4.1,7.59119057161498
4.2,7.64982623788274
4.3,7.70762687563915
4.4,7.76461102531248
4.5,7.82079649597358
4.6,7.87620040865057
4.7,7.93083923635802
4.8,7.98472884113948
4.9,8.03788450839068
5,8.09032097870297
5.1,8.14205247744192
5.2,8.19309274225453
5.3,8.24345504867912
5.4,8.29315223401512
5.5,8.34219671959471
5.6,8.39060053158498
5.7,8.43837532043695
5.8,8.48553237908744
5.9,8.53208266000984
5.99999999999999,8.57803679120129
6.09999999999999,8.62340509118626
6.19999999999999,8.66819758310914
6.29999999999999,8.71242400798267
6.39999999999999,8.75609383715286
6.49999999999999,8.79921628403642
6.59999999999999,8.8418003151818
6.69999999999999,8.88385466070081
6.79999999999999,8.92538782411411
6.89999999999999,8.9664080916502
6.99999999999999,9.00692354103463
7.09999999999999,9.04694204980324
7.19999999999999,9.0864713031704
7.29999999999999,9.12551880148125
7.39999999999999,9.16409186727448
7.49999999999999,9.2021976519803
7.59999999999999,9.23984314227644
7.69999999999999,9.27703516612337
7.79999999999999,9.31378039849835
7.89999999999999,9.35008536684662
7.99999999999999,9.38595645626666
8.09999999999999,9.42139991444527
8.19999999999999,9.45642185635726
8.29999999999999,9.49102826874333
8.39999999999999,9.525225014379
8.49999999999999,9.55901783614645
8.59999999999999,9.5924123609204
8.69999999999999,9.62541410327842
8.79999999999998,9.65802846904543
8.89999999999998,9.69026075868143
8.99999999999998,9.72211617052101
9.09999999999998,9.75359980387257
9.19999999999998,9.78471666198483
9.29999999999998,9.81547165488748
9.39999999999998,9.84586960211274
9.49999999999998,9.87591523530385
9.59999999999998,9.90561320071643
9.69999999999998,9.93496806161807
9.79999999999998,9.96398430059135
9.89999999999998,9.99266632174514
9.99999999999998,10.0210184528386
10.1,10.0490449473225
10.2,10.0767499863013
10.3,10.1041376804206
10.4,10.131212071683
10.5,10.1579771351958
10.6,10.184436780854
10.7,10.2105948549613
10.8,10.2364551417927
10.9,10.2620213651003
11,10.2872971895655
11.1,10.3122862222006
11.2,10.3369920137009
11.3,10.3614180597499
11.4,10.3855678022807
11.5,10.4094446306938
11.6,10.4330518830344
11.7,10.456392847131
11.8,10.4794707616959
11.9,10.5022888173902
12,10.5248501578548
12.1,10.5471578807081
12.2,10.5692150385124
12.3,10.59102463971
12.4,10.6125896495304
12.5,10.6339129908698
12.6,10.6549975451441
12.7,10.6758461531153
12.8,10.6964616156949
12.9,10.7168466947225
13,10.7370041137218
13.1,10.7569365586357
13.2,10.7766466785392
13.3,10.796137086333
13.4,10.8154103594173
13.5,10.8344690403472
13.6,10.8533156374698
13.7,10.8719526255442
13.8,10.8903824463449
13.9,10.9086075092487
14,10.926630191807
14.1,10.9444528403019
14.2,10.9620777702894
14.3,10.9795072671272
14.4,10.9967435864904
14.5,11.0137889548735
14.6,11.0306455700801
14.7,11.0473156017006
14.8,11.0638011915786
14.9,11.080104454265
15,11.0962274774628
15.1,11.1121723224597
15.2,11.127941024552
15.3,11.1435355934578
15.4,11.1589580137209
15.5,11.1742102451057
15.6,11.1892942229829
15.7,11.2042118587068
15.8,11.218965039984
15.9,11.2335556312347
16,11.2479854739447
16.1,11.2622563870119
16.2,11.2763701670833
16.3,11.2903285888865
16.4,11.3041334055533
16.5,11.3177863489368
16.6,11.3312891299225
